onset	duration	trial_type	value	sample
11.628	0.8	Target	2	2907
11.8	0.8	NonTarget	1	2950
11.976	0.8	NonTarget	1	2994
12.152	0.8	NonTarget	1	3038
12.328	0.8	NonTarget	1	3082
12.5	0.8	NonTarget	1	3125
12.676	0.8	NonTarget	1	3169
12.852	0.8	NonTarget	1	3213
13.028	0.8	NonTarget	1	3257
13.2	0.8	NonTarget	1	3300
13.376	0.8	NonTarget	1	3344
13.552	0.8	Target	2	3388
13.728	0.8	NonTarget	1	3432
13.9	0.8	NonTarget	1	3475
14.076	0.8	NonTarget	1	3519
14.252	0.8	NonTarget	1	3563
14.428	0.8	NonTarget	1	3607
14.6	0.8	Target	2	3650
14.776	0.8	NonTarget	1	3694
14.952	0.8	NonTarget	1	3738
15.128	0.8	Target	2	3782
15.304	0.8	NonTarget	1	3826
15.476	0.8	NonTarget	1	3869
15.652	0.8	NonTarget	1	3913
15.828	0.8	NonTarget	1	3957
16.0	0.8	NonTarget	1	4000
16.176	0.8	NonTarget	1	4044
16.352	0.8	NonTarget	1	4088
16.528	0.8	NonTarget	1	4132
16.7	0.8	Target	2	4175
16.876	0.8	NonTarget	1	4219
17.052	0.8	NonTarget	1	4263
17.228	0.8	NonTarget	1	4307
17.4	0.8	NonTarget	1	4350
17.576	0.8	Target	2	4394
17.752	0.8	NonTarget	1	4438
17.928	0.8	NonTarget	1	4482
18.1	0.8	Target	2	4525
18.276	0.8	NonTarget	1	4569
18.452	0.8	NonTarget	1	4613
18.628	0.8	NonTarget	1	4657
18.8	0.8	NonTarget	1	4700
18.976	0.8	NonTarget	1	4744
19.152	0.8	NonTarget	1	4788
19.328	0.8	Target	2	4832
19.5	0.8	NonTarget	1	4875
19.676	0.8	NonTarget	1	4919
19.852	0.8	NonTarget	1	4963
20.028	0.8	NonTarget	1	5007
20.2	0.8	Target	2	5050
20.376	0.8	NonTarget	1	5094
20.552	0.8	NonTarget	1	5138
20.728	0.8	NonTarget	1	5182
20.9	0.8	NonTarget	1	5225
21.076	0.8	NonTarget	1	5269
21.252	0.8	Target	2	5313
21.428	0.8	NonTarget	1	5357
21.6	0.8	NonTarget	1	5400
21.776	0.8	NonTarget	1	5444
21.952	0.8	NonTarget	1	5488
22.128	0.8	NonTarget	1	5532
22.3	0.8	NonTarget	1	5575
22.476	0.8	Target	2	5619
22.652	0.8	NonTarget	1	5663
22.828	0.8	NonTarget	1	5707
23.0	0.8	NonTarget	1	5750
23.176	0.8	NonTarget	1	5794
23.352	0.8	Target	2	5838
23.528	0.8	NonTarget	1	5882
23.7	0.8	NonTarget	1	5925
23.876	0.8	NonTarget	1	5969
24.052	0.8	NonTarget	1	6013
24.228	0.8	NonTarget	1	6057
24.404	0.8	NonTarget	1	6101
24.576	0.8	NonTarget	1	6144
24.752	0.8	Target	2	6188
24.928	0.8	NonTarget	1	6232
25.1	0.8	NonTarget	1	6275
25.276	0.8	NonTarget	1	6319
25.452	0.8	NonTarget	1	6363
25.628	0.8	NonTarget	1	6407
25.8	0.8	NonTarget	1	6450
25.976	0.8	NonTarget	1	6494
26.152	0.8	Target	2	6538
26.328	0.8	NonTarget	1	6582
26.5	0.8	NonTarget	1	6625
26.676	0.8	NonTarget	1	6669
26.852	0.8	Target	2	6713
27.028	0.8	NonTarget	1	6757
27.2	0.8	NonTarget	1	6800
48.22	0.8	NonTarget	1	12055
48.396	0.8	NonTarget	1	12099
48.572	0.8	NonTarget	1	12143
48.744	0.8	NonTarget	1	12186
48.92	0.8	Target	2	12230
49.096	0.8	NonTarget	1	12274
49.272	0.8	NonTarget	1	12318
49.444	0.8	NonTarget	1	12361
49.62	0.8	NonTarget	1	12405
49.796	0.8	Target	2	12449
49.972	0.8	NonTarget	1	12493
50.144	0.8	NonTarget	1	12536
50.32	0.8	Target	2	12580
50.496	0.8	NonTarget	1	12624
50.672	0.8	NonTarget	1	12668
50.844	0.8	NonTarget	1	12711
51.02	0.8	NonTarget	1	12755
51.196	0.8	NonTarget	1	12799
51.372	0.8	NonTarget	1	12843
51.544	0.8	NonTarget	1	12886
51.72	0.8	Target	2	12930
51.896	0.8	NonTarget	1	12974
52.072	0.8	NonTarget	1	13018
52.244	0.8	NonTarget	1	13061
52.42	0.8	NonTarget	1	13105
52.596	0.8	NonTarget	1	13149
52.772	0.8	NonTarget	1	13193
52.944	0.8	NonTarget	1	13236
53.12	0.8	NonTarget	1	13280
53.296	0.8	Target	2	13324
53.472	0.8	NonTarget	1	13368
53.644	0.8	NonTarget	1	13411
53.82	0.8	Target	2	13455
53.996	0.8	NonTarget	1	13499
54.172	0.8	NonTarget	1	13543
54.344	0.8	NonTarget	1	13586
54.52	0.8	NonTarget	1	13630
54.696	0.8	NonTarget	1	13674
54.872	0.8	NonTarget	1	13718
55.044	0.8	NonTarget	1	13761
55.22	0.8	Target	2	13805
55.396	0.8	NonTarget	1	13849
55.572	0.8	NonTarget	1	13893
55.744	0.8	NonTarget	1	13936
55.92	0.8	NonTarget	1	13980
56.096	0.8	NonTarget	1	14024
56.272	0.8	NonTarget	1	14068
56.444	0.8	Target	2	14111
56.62	0.8	NonTarget	1	14155
56.796	0.8	NonTarget	1	14199
56.972	0.8	NonTarget	1	14243
57.144	0.8	Target	2	14286
57.32	0.8	NonTarget	1	14330
57.496	0.8	NonTarget	1	14374
57.672	0.8	NonTarget	1	14418
57.844	0.8	NonTarget	1	14461
58.02	0.8	NonTarget	1	14505
58.196	0.8	NonTarget	1	14549
58.372	0.8	NonTarget	1	14593
58.544	0.8	Target	2	14636
58.72	0.8	NonTarget	1	14680
58.896	0.8	NonTarget	1	14724
59.072	0.8	Target	2	14768
59.244	0.8	NonTarget	1	14811
59.42	0.8	NonTarget	1	14855
59.596	0.8	NonTarget	1	14899
59.772	0.8	NonTarget	1	14943
59.944	0.8	Target	2	14986
60.12	0.8	NonTarget	1	15030
60.296	0.8	NonTarget	1	15074
60.472	0.8	NonTarget	1	15118
60.644	0.8	NonTarget	1	15161
60.82	0.8	NonTarget	1	15205
60.996	0.8	NonTarget	1	15249
61.172	0.8	NonTarget	1	15293
61.344	0.8	Target	2	15336
61.52	0.8	NonTarget	1	15380
61.696	0.8	NonTarget	1	15424
61.872	0.8	Target	2	15468
62.044	0.8	NonTarget	1	15511
62.22	0.8	NonTarget	1	15555
62.396	0.8	NonTarget	1	15599
62.572	0.8	NonTarget	1	15643
62.744	0.8	NonTarget	1	15686
62.92	0.8	NonTarget	1	15730
63.096	0.8	NonTarget	1	15774
63.272	0.8	NonTarget	1	15818
63.448	0.8	NonTarget	1	15862
63.62	0.8	NonTarget	1	15905
63.796	0.8	Target	2	15949
82.832	0.8	NonTarget	1	20708
83.008	0.8	NonTarget	1	20752
83.184	0.8	NonTarget	1	20796
83.356	0.8	Target	2	20839
83.532	0.8	NonTarget	1	20883
83.708	0.8	NonTarget	1	20927
83.884	0.8	NonTarget	1	20971
84.056	0.8	NonTarget	1	21014
84.232	0.8	NonTarget	1	21058
84.408	0.8	Target	2	21102
84.584	0.8	NonTarget	1	21146
84.756	0.8	NonTarget	1	21189
84.932	0.8	NonTarget	1	21233
85.108	0.8	NonTarget	1	21277
85.284	0.8	NonTarget	1	21321
85.456	0.8	Target	2	21364
85.632	0.8	NonTarget	1	21408
85.808	0.8	NonTarget	1	21452
85.984	0.8	NonTarget	1	21496
86.156	0.8	Target	2	21539
86.332	0.8	NonTarget	1	21583
86.508	0.8	NonTarget	1	21627
86.684	0.8	NonTarget	1	21671
86.856	0.8	NonTarget	1	21714
87.036	0.8	NonTarget	1	21759
87.208	0.8	NonTarget	1	21802
87.384	0.8	NonTarget	1	21846
87.556	0.8	NonTarget	1	21889
87.732	0.8	Target	2	21933
87.908	0.8	NonTarget	1	21977
88.084	0.8	NonTarget	1	22021
88.256	0.8	NonTarget	1	22064
88.432	0.8	NonTarget	1	22108
88.608	0.8	NonTarget	1	22152
88.784	0.8	NonTarget	1	22196
88.96	0.8	Target	2	22240
89.132	0.8	NonTarget	1	22283
89.308	0.8	NonTarget	1	22327
89.484	0.8	NonTarget	1	22371
89.656	0.8	NonTarget	1	22414
89.832	0.8	NonTarget	1	22458
90.008	0.8	Target	2	22502
90.184	0.8	NonTarget	1	22546
90.356	0.8	NonTarget	1	22589
90.532	0.8	NonTarget	1	22633
90.708	0.8	NonTarget	1	22677
90.884	0.8	Target	2	22721
91.056	0.8	NonTarget	1	22764
91.232	0.8	NonTarget	1	22808
91.408	0.8	NonTarget	1	22852
91.584	0.8	NonTarget	1	22896
91.756	0.8	NonTarget	1	22939
91.932	0.8	Target	2	22983
92.108	0.8	NonTarget	1	23027
92.284	0.8	NonTarget	1	23071
92.456	0.8	NonTarget	1	23114
92.632	0.8	Target	2	23158
92.808	0.8	NonTarget	1	23202
92.984	0.8	NonTarget	1	23246
93.156	0.8	NonTarget	1	23289
93.332	0.8	NonTarget	1	23333
